Robert Hagg,Philadelphia Flyers,Defensemen,3
Jake McCabe,Buffalo Sabres,Defensemen,3
Jordan Oesterle,Arizona Coyotes,Defensemen,3
Jordan Martinook,Carolina Hurricanes,Left Wing,2
Sam Bennett,Calgary Flames,Center,8
Max Jones,Anaheim Ducks,Left Wing,8
Frederik Gauthier,Toronto Maple Leafs,Center,7
Eric Robinson,Columbus Blue Jackets,Left Wing,7
Melker Karlsson,San Jose Sharks,Center,6
Trevor Lewis,Los Angeles Kings,Center,6
Shayne Gostisbehere,Philadelphia Flyers,Defensemen,5
Erik Cernak,Tampa Bay Lightning,Defensemen,5
Cody Glass,Vegas Golden Knights,Center,5
Devin Shore,Columbus Blue Jackets,Center,5
Denis Malgin,Toronto Maple Leafs,Center,4
Justin Schultz,Pittsburgh Penguins,Defensemen,3
Travis Hamonic,Calgary Flames,Defensemen,3
Nikita Zaitsev,Ottawa Senators,Defensemen,1
Ryan McDonagh,Tampa Bay Lightning,Defensemen,1
Ron Hainsey,Ottawa Senators,Defensemen,1
Justin Williams,Carolina Hurricanes,Right Wing,8
Michael Grabner,Arizona Coyotes,Left Wing,8
Brad Richardson,Arizona Coyotes,Center,6
Austin Wagner,Los Angeles Kings,Left Wing,6
Max Comtois,Anaheim Ducks,Left Wing,5
Dante Fabbro,Nashville Predators,Defensemen,5
Dylan Gambrell,San Jose Sharks,Center,5
Victor Mete,Montreal Canadiens,Defensemen,4
Travis Dermott,Toronto Maple Leafs,Defensemen,4
Dominic Toninato,Florida Panthers,Center,4
Zack Smith,Chicago Blackhawks,Center,4
Jack Johnson,Pittsburgh Penguins,Defensemen,3
Mike Green,Edmonton Oilers,Defensemen,3
Brendan Leipsic,Washington Capitals,Left Wing,3
Johnny Boychuk,New York Islanders,Defensemen,2
Marc Staal,New York Rangers,Defensemen,2
Mario Ferraro,San Jose Sharks,Defensemen,2
Jacob Larsson,Anaheim Ducks,Defensemen,2
Colin Miller,Buffalo Sabres,Defensemen,1
Nicolas Hague,Vegas Golden Knights,Defensemen,1
Jason Demers,Arizona Coyotes,Defensemen,0
David Savard,Columbus Blue Jackets,Defensemen,0
Mackenzie MacEachern,St. Louis Blues,Left Wing,7
Jujhar Khaira,Edmonton Oilers,Left Wing,6
